Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
10/20/2023,ProShares UltraPro Short QQQ,SQQQ,21.0825,20.1575,4.58886,0.925,200300.55,4222836282.1275
10/19/2023,ProShares UltraPro Short QQQ,SQQQ,20.1575,19.6329,2.67205,0.5246,230200.55,4640267526.1525
10/18/2023,ProShares UltraPro Short QQQ,SQQQ,19.6329,18.8276,4.27723,0.8053,194500.55,3818609789.1963
10/17/2023,ProShares UltraPro Short QQQ,SQQQ,18.8276,18.6314,1.05306,0.1962,210450.55,3962278718.6972
10/16/2023,ProShares UltraPro Short QQQ,SQQQ,18.6314,19.3061,-3.49475,-0.6747,210750.55,3926577741.3758
10/13/2023,ProShares UltraPro Short QQQ,SQQQ,19.3061,18.5945,3.82694,0.7116,210050.55,4055256865.4367
10/12/2023,ProShares UltraPro Short QQQ,SQQQ,18.5945,18.3658,1.24525,0.2287,222350.55,4134497246.1915
10/11/2023,ProShares UltraPro Short QQQ,SQQQ,18.3658,18.7632,-2.11798,-0.3974,197650.55,3630010416.0926
10/10/2023,ProShares UltraPro Short QQQ,SQQQ,18.7632,19.073,-1.62429,-0.3098,200350.55,3759217383.4704
10/09/2023,ProShares UltraPro Short QQQ,SQQQ,19.073,19.3616,-1.49058,-0.2886,198750.55,3790769182.931
10/06/2023,ProShares UltraPro Short QQQ,SQQQ,19.3616,20.3801,-4.99752,-1.0185,194550.55,3766809870.7952
10/05/2023,ProShares UltraPro Short QQQ,SQQQ,20.3801,20.1311,1.23689,0.249,210300.55,4285946177.9147
10/04/2023,ProShares UltraPro Short QQQ,SQQQ,20.1311,21.0317,-4.28211,-0.9006,190000.55,3824920011.7117
10/03/2023,ProShares UltraPro Short QQQ,SQQQ,21.0317,19.9398,5.47598,1.0919,197050.55,4144307989.3399
10/02/2023,ProShares UltraPro Short QQQ,SQQQ,19.9398,20.4388,-2.44143,-0.499,199100.55,3970025087.0706
09/29/2023,ProShares UltraPro Short QQQ,SQQQ,20.4388,20.4717,-0.16071,-0.0329,200750.55,4103100280.0236
09/28/2023,ProShares UltraPro Short QQQ,SQQQ,20.4717,20.9781,-2.41395,-0.5064,209150.55,4281667253.0199
09/27/2023,ProShares UltraPro Short QQQ,SQQQ,20.9781,21.1147,-0.64694,-0.1366,191550.55,4018366530.0207
09/26/2023,ProShares UltraPro Short QQQ,SQQQ,21.1147,20.1902,4.57895,0.9245,207350.55,4378144594.7409
09/25/2023,ProShares UltraPro Short QQQ,SQQQ,20.1902,20.4631,-1.33362,-0.2729,213450.55,4309609234.0394
09/22/2023,ProShares UltraPro Short QQQ,SQQQ,20.4631,20.475,-0.05812,-0.0119,217750.55,4455851218.3157
09/21/2023,ProShares UltraPro Short QQQ,SQQQ,20.475,19.3786,5.65779,1.0964,229000.55,4688786199.825
09/20/2023,ProShares UltraPro Short QQQ,SQQQ,19.3786,18.8902,2.58547,0.4884,221050.55,4283650130.0942
09/19/2023,ProShares UltraPro Short QQQ,SQQQ,18.8902,18.7537,0.72786,0.1365,227950.55,4306031422.9394
09/18/2023,ProShares UltraPro Short QQQ,SQQQ,18.7537,18.8293,-0.40150,-0.0756,231050.55,4333052643.2739
09/15/2023,ProShares UltraPro Short QQQ,SQQQ,18.8293,17.8728,5.35171,0.9565,229850.55,4327924904.6271
09/14/2023,ProShares UltraPro Short QQQ,SQQQ,17.8728,18.3036,-2.35364,-0.4308,247950.55,4431570536.4216
09/13/2023,ProShares UltraPro Short QQQ,SQQQ,18.3036,18.5068,-1.09797,-0.2032,224700.55,4112828932.0692
09/12/2023,ProShares UltraPro Short QQQ,SQQQ,18.5068,17.9019,3.37897,0.6049,229650.55,4250096743.2196
09/11/2023,ProShares UltraPro Short QQQ,SQQQ,17.9019,18.5538,-3.51357,-0.6519,232400.55,4160411352.3393
09/08/2023,ProShares UltraPro Short QQQ,SQQQ,18.5538,18.6168,-0.33840,-0.063,233800.55,4337888588.9286
09/07/2023,ProShares UltraPro Short QQQ,SQQQ,18.6168,18.1947,2.31991,0.4221,242650.55,4517376703.3896
09/06/2023,ProShares UltraPro Short QQQ,SQQQ,18.1947,17.7164,2.69976,0.4783,231150.55,4205714857.5009
09/05/2023,ProShares UltraPro Short QQQ,SQQQ,17.7164,17.7666,-0.28255,-0.0502,237300.55,4204111410.8708
09/01/2023,ProShares UltraPro Short QQQ,SQQQ,17.7666,17.7158,0.28675,0.0508,238950.55,4245338788.3302
08/31/2023,ProShares UltraPro Short QQQ,SQQQ,17.7158,17.8314,-0.64829,-0.1156,249450.55,4419216000.5426
08/30/2023,ProShares UltraPro Short QQQ,SQQQ,17.8314,18.1309,-1.65188,-0.2995,209150.55,3729447063.7758
08/29/2023,ProShares UltraPro Short QQQ,SQQQ,18.1309,19.3716,-6.40474,-1.2407,212150.55,3846480352.6023
08/28/2023,ProShares UltraPro Short QQQ,SQQQ,19.3716,19.8014,-2.17055,-0.4298,212300.55,4112601276.2652
08/25/2023,ProShares UltraPro Short QQQ,SQQQ,19.8014,20.3014,-2.46288,-0.5,213750.55,4232560081.3658
08/24/2023,ProShares UltraPro Short QQQ,SQQQ,20.3014,19.0301,6.68047,1.2713,229950.55,4668318034.8658
08/23/2023,ProShares UltraPro Short QQQ,SQQQ,19.0301,19.982,-4.76379,-0.9519,211100.55,4017264519.4647
08/22/2023,ProShares UltraPro Short QQQ,SQQQ,19.982,19.8616,0.60619,0.1204,214400.55,4284151730.154
08/21/2023,ProShares UltraPro Short QQQ,SQQQ,19.8616,20.8818,-4.88559,-1.0202,217300.55,4315936544.2952
08/18/2023,ProShares UltraPro Short QQQ,SQQQ,20.8818,20.778,0.49957,0.1038,218400.55,4560596542.3446
08/17/2023,ProShares UltraPro Short QQQ,SQQQ,20.778,20.1064,3.34023,0.6716,231750.55,4815312865.566
08/16/2023,ProShares UltraPro Short QQQ,SQQQ,20.1064,19.4822,3.20395,0.6242,220000.55,4423418998.2008
08/15/2023,ProShares UltraPro Short QQQ,SQQQ,19.4822,18.8484,3.36262,0.6338,227100.55,4424418276.7634
08/14/2023,ProShares UltraPro Short QQQ,SQQQ,18.8484,19.5329,-3.50434,-0.6845,229200.55,4320063590.0748
08/11/2023,ProShares UltraPro Short QQQ,SQQQ,19.5329,19.1423,2.04051,0.3906,230200.55,4496484264.4963
08/10/2023,ProShares UltraPro Short QQQ,SQQQ,19.1423,19.2287,-0.44933,-0.0864,240050.55,4595119585.8381
08/09/2023,ProShares UltraPro Short QQQ,SQQQ,19.2287,18.597,3.39678,0.6317,225650.55,4338966673.0989
08/08/2023,ProShares UltraPro Short QQQ,SQQQ,18.597,18.1127,2.67381,0.4843,230350.55,4283829122.559
08/07/2023,ProShares UltraPro Short QQQ,SQQQ,18.1127,18.5897,-2.56594,-0.477,234450.55,4246532422.6469
08/04/2023,ProShares UltraPro Short QQQ,SQQQ,18.5897,18.2942,1.61527,0.2955,234500.55,4359294818.5659
